Country,Name,Lat,Lon,Elevation
Albania,Korce,40.6186111,20.7808342,876.0
Albania,Berat,40.7058333,19.9522228,69.0
Albania,Lushnje,40.9419444,19.704999899999997,81.0
Albania,Kavaje,41.1855556,19.556943899999997,10.0
Albania,Lac,41.6355556,19.7130547,89.0
Albania,Gjirokaster,40.0758333,20.138889300000002,213.0
Albania,Patos Fshat,40.6427778,19.6508331,118.0
Albania,Kruje,41.5091667,19.792778,870.0
Albania,Lezhe,41.7836111,19.643611899999996,82.0
Albania,Kucove,40.800277799999996,19.916666,95.0
Albania,Kukes,42.076944399999995,20.4219437,339.0
Albania,Burrel,41.6102778,20.008888199999998,196.0
Albania,Sarande,39.875555600000006,20.005277600000003,170.0
Albania,Peshkopi,41.685,20.4288883,718.0
Albania,Cerrik,41.0316667,19.975833899999998,70.0
Albania,Shijak,41.345555600000004,19.5672226,57.0
Albania,Corovode,40.5041667,20.2272224,539.0
Albania,Librazhd-Qender,41.19694439999999,20.335556,436.0
Albania,Tepelene,40.2958333,20.0191669,112.0
Albania,Gramsh,40.8697222,20.1844444,342.0
Albania,Bulqize,41.4916667,20.2219448,729.0
Albania,Kamez,41.381666700000004,19.760278699999997,73.0
Albania,Permet,40.233611100000005,20.3516674,281.0
Albania,Polican,40.6122222,20.0980549,407.0
Albania,Fushe-Kruje,41.478333299999996,19.7177773,41.0
Albania,Ballsh,40.5988889,19.734722100000003,232.0
Albania,Rreshen,41.7675,19.875555,129.0
Albania,Mamurras,41.5775,19.6922226,79.0
Albania,Bajram Curri,42.3572222,20.0730553,313.0
Albania,Erseke,40.3377778,20.6788883,1024.0
Albania,Peqin,41.046111100000005,19.751112,37.0
Albania,Bilisht,40.6275,20.989999800000003,946.0
Albania,Selenice,40.53055560000001,19.6358337,113.0
Albania,Roskovec,40.7375,19.7022228,24.0
Albania,Puke,42.044444399999996,19.899723100000003,795.0
Albania,Rrogozhine,41.0763889,19.6652775,48.0
Albania,Vore,41.3908333,19.6550007,74.0
Albania,Memaliaj,40.3516667,19.980278,141.0
Albania,Ura Vajgurore,40.76888889999999,19.8777771,30.0
Albania,Himare,40.1016667,19.744722399999997,60.0
Albania,Koplik,42.2136111,19.436388,71.0
Albania,Perrenjas-Fshat,41.0666667,20.535278299999998,562.0
Albania,Delvine,39.951111100000006,20.097778299999998,255.0
Albania,Maliq,40.7058333,20.6997223,824.0
Albania,Libohove,40.031111100000004,20.263055800000004,536.0
Albania,Shengjin,41.8136111,19.5938892,-9999.0
Albania,Leskovik,40.15138889999999,20.5972214,908.0
Albania,Orikum,40.3252778,19.4713898,8.0
Albania,Kelcyre,40.313055600000006,20.1894436,171.0
Albania,Fushe-Arrez,42.0622222,20.0166664,590.0
Albania,Rubik,41.77444439999999,19.7861118,262.0
Albania,Milot,41.6838889,19.7155552,49.0
Albania,Kurbnesh,41.7797222,20.083610500000002,833.0
Albania,Konispol,39.658888899999994,20.181388899999998,478.0
Albania,Krrabe,41.2155556,19.9713898,542.0
Albania,Fierze,42.2647222,20.0269451,474.0
Albania,Klos,41.506944399999995,20.086666100000002,275.0
Albania,Kutreq,41.396666700000004,19.961666100000002,524.0
Albania,Collak,41.3152778,19.866111800000002,217.0
Albania,Ballaj,41.3222222,19.880277600000003,276.0
Albania,Kubes,41.4166667,19.8511105,573.0
Albania,Kurte,41.493055600000005,19.9972229,1328.0
Albania,Melcize,41.3952778,19.822221799999998,130.0
Albania,Livadhet,41.408055600000004,19.9047222,395.0
Albania,Gurra e Vogel,41.2863889,19.8883324,240.0
Albania,Celiku,41.2761111,19.8522224,157.0
Albania,Kamere,41.4719444,19.9708328,1286.0
Albania,Mal Pjec,41.4786111,19.954721499999998,1155.0
Albania,Dallashi,41.283055600000004,19.8763885,241.0
Albania,Shejleret,41.3072222,19.8858337,253.0
Albania,Kokli,41.3091667,19.928611800000002,665.0
Albania,Shugyrk,41.44,19.930276899999996,429.0
Albania,Metaj,41.493333299999996,19.9052773,695.0
Albania,Marice,41.4216667,19.9591675,585.0
Albania,Panec,41.2847222,20.006389600000002,516.0
Albania,Balajt e Poshtem,41.42055560000001,20.1397228,1080.0
Albania,Blishte,41.4430556,20.1466675,613.0
Albania,Shengjun,41.4891667,20.1375008,577.0
Albania,Rucaj,41.466111100000006,20.1555557,815.0
Albania,Kotaj,41.4333333,20.2008324,1102.0
Albania,Peshk,41.40555560000001,20.1980553,829.0
Albania,Bize,41.3408333,20.1980553,1314.0
Albania,Berberaj,41.3144444,20.202777899999997,1087.0
Albania,Panjet,41.3208333,20.1561108,1323.0
Albania,Ruc,41.32194439999999,20.1105556,912.0
Albania,Marice,41.438055600000006,20.0222225,1096.0
Albania,Xhyre,41.286944399999996,20.0283337,862.0
Albania,Vakumona i Siperme,41.2816667,20.069723100000004,1060.0
Albania,Varros,41.3025,20.0933342,973.0
Albania,Tejlumaj,41.478333299999996,20.0258331,686.0
Albania,Bic,41.2825,20.145834,1011.0
Albania,Gjorkaj,41.2780556,20.1705551,784.0
Albania,Rinas,41.28611110000001,20.166110999999997,760.0
Albania,Ballgjin,41.3086111,20.1933327,967.0
Algeria,Algiers,36.7630556,3.0505557,1.0
Algeria,Oran,35.6911111,-0.6416666999999999,101.0
Algeria,Constantine,36.365,6.6147222999999995,501.0
Algeria,Batna,35.555971,6.1741447,1035.0
Algeria,Bab Ezzouar,36.716666700000005,3.1833334,32.0
Algeria,Annaba,36.9,7.766666900000001,1.0
Algeria,Sidi Bel Abbes,35.1938889,-0.6413889,476.0
Algeria,Ech Chettia,36.195663700000004,1.2584496,168.0
Algeria,Bejaia,36.75,5.0833335,1.0
Algeria,Skikda,36.8791667,6.906666800000001,94.0
Algeria,El Achir,36.0666667,4.6305556,1003.0
Algeria,Medea,36.2675,2.75,1005.0
Algeria,Bechar,31.616666700000003,-2.2166667,785.0
Algeria,Tlemcen,34.8783333,-1.3150001,843.0
Algeria,Mostaganem,35.9333333,0.0902778,85.0
Algeria,El Eulma,36.15,5.6833334,941.0
Algeria,Saida,34.8333333,0.15,869.0
Algeria,Guelma,36.466111100000006,7.433888900000001,257.0
Algeria,Bordj el Kiffan,36.7475,3.1930556,33.0
Algeria,Ain Oussera,35.4513889,2.9058332,694.0
Algeria,Laghouat,33.8,2.8833332,776.0
Algeria,Ain Beida,35.7963889,7.392777900000001,1021.0
Algeria,Baraki,36.6691667,3.0952778,30.0
Algeria,Oum el Bouaghi,35.8775,7.113611200000001,955.0
Algeria,Messaad,34.1666667,3.5,768.0
Algeria,Barika,35.3897222,5.3766665,451.0
Algeria,Beni Mered,36.523055600000006,2.8625,149.0
Algeria,Aflou,34.1088889,2.1019444,1372.0
Algeria,El Khroub,36.2633333,6.693611099999999,597.0
Algeria,Rouissat,31.9272222,5.3497224,151.0
Algeria,Berrouaghia,36.1366667,2.9130557,913.0
Algeria,Ksar el Boukhari,35.8855556,2.7508333,728.0
Algeria,Khemis Miliana,36.262222200000004,2.2180555,365.0
Algeria,Azzaba,36.7394444,7.105278,105.0
Algeria,Tamanrasset,22.785,5.522778,1319.0
Algeria,Ain Touta,35.3766667,5.896111,894.0
Algeria,Cheria,35.273055600000006,7.7519445000000005,1093.0
Algeria,Birkhadem,36.7127778,3.0616667,134.0
Algeria,Chelghoum el Aid,36.1594444,6.165,773.0
Algeria,Sidi Aissa,35.891388899999995,3.771111,672.0
Algeria,Larba,36.5666667,3.1500001,109.0
Algeria,Mila,36.4502778,6.2644444,488.0
Algeria,Bir el Ater,34.7333333,8.050000200000001,844.0
Algeria,Sougueur,35.1913889,1.4983333,1101.0
Algeria,Ain Fakroun,35.976388899999996,6.875555499999999,933.0
Algeria,Tolga,34.716666700000005,5.3833332,249.0
Algeria,Es Senia,35.6511111,-0.6341667,91.0
Algeria,Bir el Djir,35.72,-0.545,178.0
Algeria,Akbou,36.461111100000004,4.5333333,278.0
Algeria,Besbes,36.7022222,7.847222299999999,10.0
Algeria,Sidi Khaled,34.3833333,5.0,251.0
Algeria,Ain Sefra,32.75,-0.5833333,1082.0
Algeria,Frenda,35.061944399999994,1.0422221,1083.0
Algeria,Bougara,36.540555600000005,3.0852777999999996,142.0
Algeria,Hamma Bouziane,36.41305560000001,6.5974998,410.0
Algeria,Reguiba,33.5666667,6.7166667,32.0
Algeria,Meftah,36.6194444,3.2252779,120.0
Algeria,Oued Rhiou,35.963333299999995,0.9136110999999999,99.0
Algeria,Boufarik,36.570555600000006,2.9108334,65.0
Algeria,Sig,35.5277778,-0.19527779999999997,32.0
